AnimalID,Breed,Age,Weight,LactationPeriod,HealthStatus,FeedType,FeedAmount,WaterIntake,Temperature,Humidity,BarnCondition,PastMilkProduction,MilkingFrequency,VetVisits,MilkProduction
1,BreedC,9,392,191,Sick,TypeB,39.6000051205676,97.40239152736987,27.105186329138565,66.20390804212738,Dirty,28.89095125320237,2,2,157.6840331427734
2,BreedB,2,360,210,Sick,TypeC,32.07444083789021,55.800091763457914,31.187436478907472,37.557743350989014,Clean,24.22618756951373,3,2,234.31827891328467
3,BreedB,8,489,195,Sick,TypeA,32.62205836972581,51.16478161940048,34.76989721314919,89.51213946756484,Dirty,13.524973445387143,2,0,160.19480504665202
4,BreedB,5,442,291,Sick,TypeC,23.58207042342222,72.13648565404904,32.714794276736484,70.39367579374148,Clean,24.744866543634856,2,1,189.18181073140642
5,BreedA,2,687,234,Sick,TypeC,19.462684095900457,34.02559215158035,22.442007727984603,43.907040752853675,Clean,12.369265061791932,3,2,137.2415392019116
6,BreedC,6,581,256,Sick,TypeC,19.042207447155818,44.849378812716914,32.148280961652276,71.69679825587579,Clean,20.765029680146945,1,1,277.26488176383384
7,BreedB,2,616,151,Healthy,TypeC,20.530873719029984,33.3402164013401,19.531793740714573,56.78194818818761,Moderate,27.990050953818898,3,0,270.8686060063382
8,BreedA,7,669,269,Healthy,TypeA,15.483646383876472,59.31620577701214,26.068557328879933,45.36234893035758,Dirty,13.83552892021498,3,1,139.32345908955227
9,BreedA,8,324,262,Sick,TypeC,23.247277902148525,22.356631577641632,31.773651211521525,45.999832837733365,Moderate,21.159196900851956,3,2,234.74518854881984
10,BreedA,4,533,206,Sick,TypeB,38.93084667275643,35.73265411889227,16.50624870296355,64.14188897447937,Clean,18.96680090014037,3,0,164.8583809105177
11,BreedA,4,339,173,Sick,TypeA,26.02056204561756,83.66608103759165,18.812181028905425,66.98972760375378,Moderate,18.355038606925355,3,2,163.5402360153424
12,BreedB,8,696,213,Healthy,TypeB,26.031429200109784,72.87916449579468,17.564713870122578,82.64234044130785,Clean,20.09423765653464,1,0,109.54258342255774
13,BreedB,6,485,297,Healthy,TypeA,39.06580334518691,90.72730935894168,32.3591825500882,54.08651910044611,Dirty,21.710954510273393,1,1,143.5148051558861
14,BreedB,8,317,298,Sick,TypeB,39.72846927436208,97.3835233200048,20.265155771265718,80.41434598537757,Moderate,21.864231071313597,3,0,180.29378916084335
15,BreedA,7,501,254,Healthy,TypeB,22.332447359874344,99.48212152150245,19.071934379038176,65.21454688120167,Moderate,20.001498548149783,2,1,103.95046388286357
16,BreedA,7,313,290,Healthy,TypeB,23.97259651228609,91.5803562290344,30.7878892672909,34.326211915369235,Clean,22.381501278786295,1,2,206.3682933716593
17,BreedC,9,496,210,Healthy,TypeC,11.010868080949571,76.50307051610294,22.91065762659237,61.148038566120086,Dirty,19.955930650452665,1,0,272.8867878588343
18,BreedA,4,400,187,Sick,TypeC,35.35724995331083,33.45899865196056,22.066343585959963,53.999368595476064,Dirty,29.98040825527903,3,0,234.53325787718714
19,BreedB,4,558,266,Sick,TypeA,24.1815745938754,79.92454896250321,23.410204771759112,84.59030860536262,Dirty,27.863444762440672,2,0,212.56868685916163
20,BreedC,2,335,233,Healthy,TypeB,38.75740229154043,77.41759025096317,25.748781554922374,62.76765450633315,Clean,23.61941231526292,1,1,208.61107196441276
21,BreedB,7,484,163,Sick,TypeB,14.742770484305227,39.79096823502274,24.486635854441545,61.32063141581422,Dirty,17.36756616545895,1,1,187.5115620765912
